STATE,CONSTITUENCY, Assets ,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,EDUCATION,"GENERAL
VOTES","POSTAL
VOTES","TOTAL
VOTES",VoteAcc,VoteShare,Total Voters
West Bengal,BAHARAMPUR,101315437,1,INC,MALE,7,63,10th Pass,589580,1526,591106,36.07873153,45.43359008,1638378
Uttar Pradesh,BAHRAICH,45691463,1,BJP,MALE,0,73,10th Pass,525512,470,525982,30.40520074,53.1218218,1729908
Madhya Pradesh,BALAGHAT,88648133,1,BJP,MALE,0,66,Others,692859,3243,696102,39.3784101,50.70931647,1767725
Odisha,BALASORE,1346236,1,BJP,MALE,7,64,Graduate,481438,2420,483858,31.58793587,41.73510271,1531781
Uttar Pradesh,BALLIA,24498319,1,BJP,MALE,2,62,Graduate,464039,5075,469114,25.73837185,47.357938,1822625
West Bengal,BALURGHAT,5825866,1,BJP,MALE,0,39,Doctorate,537577,1740,539317,37.66958813,45.00920936,1431704
Gujarat,BANASKANTHA,41819177,1,BJP,MALE,0,70,Graduate Professional,675650,3458,679108,40.00909635,61.52795181,1697384
Uttar Pradesh,BANDA,55794086,1,BJP,MALE,2,59,Graduate,477100,826,477926,28.07986256,46.18035157,1702024
Karnataka,BANGALORE CENTRAL,755529306,1,BJP,MALE,0,55,12th Pass,601170,1683,602853,27.34254135,50.33477027,2204817
Karnataka,BANGALORE NORTH,209384539,1,BJP,MALE,0,66,Graduate Professional,821934,2566,824500,28.93743968,52.84158931,2849250
Karnataka,BANGALORE RURAL,3388920717,1,INC,MALE,5,52,12th Pass,877712,546,878258,35.16607687,54.11911581,2497458
Karnataka,BANGALORE SOUTH,1346593,1,BJP,MALE,0,28,Graduate Professional,736605,2624,739229,33.36640353,62.1379944,2215489
West Bengal,BANGAON,5265388,1,BJP,MALE,8,37,Graduate,685237,2385,687622,40.33844255,48.81415082,1704632
Bihar,BANKA,19816050,1,JD(U),MALE,1,58,Post Graduate,476948,840,477788,28.11519871,47.97742655,1699394
West Bengal,BANKURA,19799440,1,BJP,MALE,1,65,Graduate Professional,672202,3117,675319,40.95557903,49.19837249,1648906
Uttar Pradesh,BANSGAON,171706883,1,BJP,MALE,5,42,Graduate,544434,2239,546673,31.21601729,56.37065199,1751258
Rajasthan,BANSWARA,58711904,1,BJP,MALE,0,62,Graduate Professional,710684,1025,711709,36.02918545,49.42049525,1975368
