State,Constituency,Assets,Party,Gender,Criminal Cases,Age,Education Level,General Votes,Postal Votes,Total Votes,Vote Share,Voters in Constituency,Region
Odisha,BALASORE,1346236,BJP,MALE,7,64,Graduate,481438,2420,483858,41.73510271,1531781,EAST
Uttar Pradesh,BALLIA,24498319,BJP,MALE,2,62,Graduate,464039,5075,469114,47.357938,1822625,NORTH
West Bengal,BALURGHAT,5825866,BJP,MALE,0,39,Doctorate,537577,1740,539317,45.00920936,1431704,EAST
Gujarat,BANASKANTHA,41819177,BJP,MALE,0,70,Graduate Professional,675650,3458,679108,61.52795181,1697384,WEST
Uttar Pradesh,BANDA,55794086,BJP,MALE,2,59,Graduate,477100,826,477926,46.18035157,1702024,NORTH
Karnataka,BANGALORE CENTRAL,755529306,BJP,MALE,0,55,High School,601170,1683,602853,50.33477027,2204817,SOUTH
Karnataka,BANGALORE NORTH,209384539,BJP,MALE,0,66,Graduate Professional,821934,2566,824500,52.84158931,2849250,SOUTH
Karnataka,BANGALORE RURAL,3388920717,INC,MALE,5,52,High School,877712,546,878258,54.11911581,2497458,SOUTH
Karnataka,BANGALORE SOUTH,1346593,BJP,MALE,0,28,Graduate Professional,736605,2624,739229,62.137994400000004,2215489,SOUTH
West Bengal,BANGAON,5265388,BJP,MALE,8,37,Graduate,685237,2385,687622,48.81415082,1704632,EAST
Bihar,BANKA,19816050,JD(U),MALE,1,58,Post Graduate,476948,840,477788,47.97742655,1699394,EAST
West Bengal,BANKURA,19799440,BJP,MALE,1,65,Graduate Professional,672202,3117,675319,49.19837249,1648906,EAST
Uttar Pradesh,BANSGAON,171706883,BJP,MALE,5,42,Graduate,544434,2239,546673,56.37065199,1751258,NORTH
Rajasthan,BANSWARA,58711904,BJP,MALE,0,62,Graduate Professional,710684,1025,711709,49.42049525,1975368,WEST
Andhra Pradesh,BAPATLA,4158610,YSRCP,MALE,0,42,Middle School,592250,6007,598257,47.10692458,1468671,SOUTH
Uttar Pradesh,BARABANKI,18050127,BJP,MALE,1,51,Post Graduate,535594,323,535917,46.37131525,1816830,NORTH
Maharashtra,BARAMATI,1408888704,NCP,FEMALE,0,49,Graduate,683705,3009,686714,52.52845903,2114663,WEST
Jammu & Kashmir,BARAMULLA,597434000,JKNC,MALE,0,71,Graduate Professional,132969,457,133426,29.26015189,1317738,NORTH
West Bengal,BARASAT,40531018,AITC,FEMALE,2,60,Post Graduate,647819,625,648444,46.44368906,1718252,EAST
West Bengal,BARDHAMAN DURGAPUR,26521750,BJP,MALE,0,67,Graduate Professional,597450,926,598376,41.75136706,1733578,EAST
West Bengal,BARDHAMAN PURBA,20371283,AITC,MALE,0,61,Graduate Professional,640490,344,640834,44.51463355,1698089,EAST
Gujarat,BARDOLI,28350217,BJP,MALE,0,49,Illiterate,740448,1825,742273,54.99764753,1826526,WEST
Uttar Pradesh,BAREILLY,126356142,BJP,MALE,0,70,Graduate Professional,563533,1737,565270,52.88056758,1797655,NORTH
Odisha,BARGARH,11673429,BJP,MALE,0,59,Post Graduate,577074,4171,581245,46.4595333,1596290,EAST
Rajasthan,BARMER,2402250,BJP,MALE,2,45,Graduate,844104,2422,846526,59.49405253,1941231,WEST
Assam,BARPETA,7398753,INC,MALE,0,44,Post Graduate,643441,1732,645173,44.22603934,1685149,NORTH EAST
West Bengal,BARRACKPORE,8055691,BJP,MALE,24,57,High School,471490,1504,472994,42.81655003,1436431,EAST
West Bengal,BASIRHAT,29088391,AITC,FEMALE,0,28,High School,781920,158,782078,54.54700164,1678357,EAST
Chhattisgarh,BASTAR,7721293,INC,MALE,1,38,Post Graduate,401539,988,402527,44.05167215,1379122,EAST
Uttar Pradesh,BASTI,8662344,BJP,MALE,5,45,Post Graduate,469214,1948,471162,44.65139817,1845223,NORTH
Punjab,BATHINDA,2179919870,SAD,FEMALE,0,52,High School,490811,2013,492824,40.98011547,1621671,NORTH
Maharashtra,BEED,167477926,BJP,FEMALE,1,36,Post Graduate,675841,2334,678175,50.1074298,2045405,WEST
Bihar,BEGUSARAI,83024577,BJP,MALE,6,66,Graduate,687577,4616,692193,56.43630713,1958382,EAST
Karnataka,BELGAUM,366164525,BJP,MALE,0,63,Graduate Professional,756986,5005,761991,63.12355961,1779350,SOUTH
Karnataka,BELLARY,40107878,BJP,MALE,0,67,Middle School,614274,2114,616388,50.4415357,1751734,SOUTH
Odisha,BERHAMPUR,11716989,BJD,MALE,0,68,High School,443145,698,443843,44.82868677,1502455,EAST
Madhya Pradesh,BETUL,15413532,BJP,MALE,0,55,Post Graduate,810237,1011,811248,59.72366189,1737437,WEST
Uttar Pradesh,BHADOHI,94089148,BJP,MALE,6,44,High School,508989,1040,510029,49.04771109,1942514,NORTH
Odisha,BHADRAK,39417891,BJD,FEMALE,0,42,Graduate,511772,1273,513045,41.77734385,1661661,EAST
Bihar,BHAGALPUR,6801126,JD(U),MALE,0,41,Middle School,616724,1530,618254,59.26616832,1823820,EAST
Maharashtra,BHANDARA - GONDIYA,627543615,BJP,MALE,2,50,Illiterate,646152,4091,650243,52.16370394,1811556,WEST
Rajasthan,BHARATPUR,3117190,BJP,FEMALE,0,39,Middle School,701293,6699,707992,61.61965794,1943794,WEST
Gujarat,BHARUCH,6835957,BJP,MALE,0,61,Post Graduate,635374,2421,637795,55.42871992,1564519,WEST
Gujarat,BHAVNAGAR,17753161,BJP,FEMALE,0,55,Graduate Professional,655272,6001,661273,63.32564674,1768297,WEST
Rajasthan,BHILWARA,232703276,BJP,MALE,0,62,Graduate,936065,2095,938160,71.5600403,1997328,WEST
Madhya Pradesh,BHIND,51108660,BJP,FEMALE,0,45,Post Graduate,522990,4704,527694,54.81299281,1765334,WEST
Maharashtra,BHIWANDI,418850781,BJP,MALE,0,58,Graduate,522032,1551,523583,52.06646745,1890100,WEST
Haryana,BHIWANI-MAHENDRAGARH,60642205,BJP,MALE,0,64,Graduate,725725,10974,736699,63.18682638,1654317,NORTH
Telangana,BHONGIR,162543845,INC,MALE,14,55,High School,532031,764,532795,43.93181929,1628033,SOUTH
Madhya Pradesh,BHOPAL,444224,BJP,FEMALE,1,49,Post Graduate,865212,1270,866482,61.51068846,2142861,WEST
Odisha,BHUBANESWAR,31677600,BJP,FEMALE,0,49,Graduate,485793,1198,486991,48.42674797,1699678,EAST
Karnataka,BIDAR,51836416,BJP,MALE,1,50,Graduate Professional,583833,1638,585471,52.35576859,1775095,SOUTH
Karnataka,BIJAPUR,504122985,BJP,MALE,0,66,Graduate,633868,1999,635867,57.15694391,1797587,SOUTH
Uttar Pradesh,BIJNOR,2499628021,BSP,MALE,7,53,Graduate,559824,1221,561045,50.91309532,1664125,NORTH
Rajasthan,BIKANER,23524459,BJP,MALE,0,65,Post Graduate,655427,2316,657743,59.76765107,1851628,WEST
Chhattisgarh,BILASPUR,13544588,BJP,MALE,0,51,Graduate Professional,633268,1291,634559,52.43158294,1876953,EAST
